X	Y	T	NASA ERBE ALL clear-sky albedo
degree_east	degree_north	months since 1960-01-01	percent
    318.7500    	    66.25000    	    322.5000    	    75.30000    
    321.2500    	    66.25000    	    322.5000    	    67.10000    
    323.7500    	    66.25000    	    322.5000    	    36.10000    
    326.2500    	    66.25000    	    322.5000    	    36.50000    
    328.7500    	    66.25000    	    322.5000    	    28.80000    
    331.2500    	    66.25000    	    322.5000    	    27.10000    
    333.7500    	    66.25000    	    322.5000    	    28.60000    
    336.2500    	    66.25000    	    322.5000    	    60.10000    
    338.7500    	    66.25000    	    322.5000    	    58.50000    
    341.2500    	    66.25000    	    322.5000    	    60.60000    
    343.7500    	    66.25000    	    322.5000    	    23.30000    
    346.2500    	    66.25000    	    322.5000    	    26.80000    
    348.7500    	    66.25000    	    322.5000    	    26.30000    
    351.2500    	    66.25000    	    322.5000    	    26.50000    
    353.7500    	    66.25000    	    322.5000    	    26.30000    
    356.2500    	    66.25000    	    322.5000    	    27.40000    
    358.7500    	    66.25000    	    322.5000    	    27.90000    
    1.250000    	    63.75000    	    322.5000    	    24.60000    
    3.750000    	    63.75000    	    322.5000    	    26.70000    
    6.250000    	    63.75000    	    322.5000    	    26.60000    
    8.750000    	    63.75000    	    322.5000    	    21.60000    
    11.25000    	    63.75000    	    322.5000    	    58.90000    
    13.75000    	    63.75000    	    322.5000    	    55.00000    
    16.25000    	    63.75000    	    322.5000    	    18.50000    
    18.75000    	    63.75000    	    322.5000    	    17.90000    
    21.25000    	    63.75000    	    322.5000    	    22.20000    
    23.75000    	    63.75000    	    322.5000    	    19.90000    
    26.25000    	    63.75000    	    322.5000    	    17.10000    
    28.75000    	    63.75000    	    322.5000    	    19.50000    
    31.25000    	    63.75000    	    322.5000    	    65.40000    
    33.75000    	    63.75000    	    322.5000    	    61.90000    
    36.25000    	    63.75000    	    322.5000    	    63.20000    
    41.25000    	    63.75000    	    322.5000    	    65.90000    
    43.75000    	    63.75000    	    322.5000    	    68.10000    
    46.25000    	    63.75000    	    322.5000    	    68.70000    
